"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"61","PSS.ON.URB","0.06","[-0.00,  0.12]","-0.03","[-0.07,  0.01]","-0.09*","[-0.17, -0.01]"
"62","PSS.ON.EDUM","-0.20*","[-0.39, -0.01]","-0.13","[-0.28,  0.02]","0.07","[-0.16,  0.30]"
"63","PSS.ON.EDUH","-0.55***","[-0.75, -0.35]","-0.29***","[-0.43, -0.14]","0.26*","[ 0.02,  0.49]"
"64","PSS.ON.INC2","0.10","[-0.12,  0.32]","0.23*","[ 0.02,  0.43]","0.13","[-0.16,  0.43]"
"65","PSS.ON.INC3","0.05","[-0.19,  0.29]","0.11","[-0.08,  0.30]","0.05","[-0.23,  0.34]"
"66","PSS.ON.INC4","-0.04","[-0.26,  0.18]","0.10","[-0.08,  0.29]","0.14","[-0.14,  0.43]"
"67","PSS.ON.INC5","-0.17","[-0.39,  0.05]","-0.05","[-0.23,  0.12]","0.12","[-0.16,  0.39]"
"68","PSS.ON.HOUS2C","-0.08","[-0.25,  0.09]","-0.02","[-0.13,  0.09]","0.06","[-0.14,  0.26]"
"69","PSS.ON.HOUSSP","-0.06","[-0.35,  0.23]","-0.03","[-0.23,  0.16]","0.03","[-0.33,  0.38]"
"70","PSS.ON.HOUSO","-0.00","[-0.22,  0.21]","-0.15*","[-0.28, -0.03]","-0.15","[-0.40,  0.10]"
"71","PSS.ON.MARS","0.43**","[ 0.16,  0.71]","0.28**","[ 0.10,  0.46]","-0.15","[-0.50,  0.19]"
"72","PSS.ON.MARW","0.44","[-0.30,  1.17]","0.40","[-0.05,  0.86]","-0.03","[-0.89,  0.83]"
"73","PSS.ON.MARN","0.06","[-0.14,  0.27]","0.05","[-0.07,  0.16]","-0.01","[-0.23,  0.20]"
"74","PHYS.ON.NOI","0.16","[-0.03,  0.36]","0.07","[-0.07,  0.22]","-0.09","[-0.32,  0.15]"
"75","PHYS.ON.PLEA","0.10","[-0.20,  0.40]","-0.00","[-0.26,  0.25]","-0.10","[-0.50,  0.29]"
"76","PHYS.ON.SAFE","-0.16","[-0.38,  0.06]","-0.06","[-0.24,  0.12]","0.10","[-0.19,  0.39]"
"77","PHYS.ON.COH","0.18","[-0.03,  0.39]","0.18","[ 0.00,  0.37]","0.00","[-0.28,  0.29]"
"78","PHYS.ON.GREEN","-0.18","[-0.45,  0.09]","-0.11","[-0.32,  0.10]","0.07","[-0.27,  0.41]"
"79","PHYS.ON.BLUE","-0.05","[-0.33,  0.22]","-0.05","[-0.26,  0.16]","0.00","[-0.34,  0.34]"
"80","PHYS.ON.DEP","-0.06","[-0.48,  0.37]","0.17","[-0.11,  0.45]","0.22","[-0.27,  0.72]"
"81","PHYS.ON.FRAG","0.04","[-0.03,  0.11]","0.07**","[ 0.02,  0.12]","0.03","[-0.05,  0.11]"
"82","PHYS.ON.AGE","0.02**","[ 0.01,  0.03]","0.02***","[ 0.01,  0.03]","0.00","[-0.01,  0.02]"
"83","PHYS.ON.URB","-0.08","[-0.21,  0.04]","-0.04","[-0.13,  0.05]","0.04","[-0.10,  0.19]"
"84","PHYS.ON.EDUM","0.04","[-0.33,  0.41]","-0.09","[-0.38,  0.20]","-0.13","[-0.58,  0.32]"
"85","PHYS.ON.EDUH","0.16","[-0.24,  0.56]","-0.30*","[-0.59, -0.01]","-0.46","[-0.94,  0.03]"
"86","PHYS.ON.INC2","-0.06","[-0.53,  0.40]","-0.32","[-0.78,  0.14]","-0.26","[-0.93,  0.42]"
"87","PHYS.ON.INC3","-0.21","[-0.65,  0.23]","-0.41","[-0.84,  0.01]","-0.20","[-0.82,  0.41]"
"88","PHYS.ON.INC4","0.14","[-0.32,  0.59]","-0.31","[-0.72,  0.09]","-0.45","[-1.06,  0.16]"
"89","PHYS.ON.INC5","0.13","[-0.29,  0.55]","-0.34","[-0.75,  0.06]","-0.48","[-1.06,  0.10]"
"90","PHYS.ON.HOUS2C","0.19","[-0.15,  0.52]","-0.06","[-0.28,  0.17]","-0.24","[-0.65,  0.17]"
"91","PHYS.ON.HOUSSP","-0.23","[-0.75,  0.29]","-0.09","[-0.51,  0.33]","0.14","[-0.52,  0.79]"
"92","PHYS.ON.HOUSO","0.11","[-0.28,  0.50]","-0.16","[-0.42,  0.10]","-0.27","[-0.73,  0.19]"
"93","PHYS.ON.MARS","-0.16","[-0.71,  0.39]","0.14","[-0.22,  0.50]","0.30","[-0.35,  0.96]"
"94","PHYS.ON.MARW","0.21","[-1.01,  1.44]","1.46***","[ 0.68,  2.25]","1.25","[-0.22,  2.73]"
"95","PHYS.ON.MARN","-0.07","[-0.48,  0.34]","0.13","[-0.13,  0.40]","0.20","[-0.28,  0.69]"
"96","PSS.WITH.PHYS","-0.17*","[-0.31, -0.02]","-0.06","[-0.18,  0.06]",,
"97","PLEA.WITH.COH","0.52***","[ 0.45,  0.60]","0.68***","[ 0.63,  0.73]",,
"98","SAFE.WITH.COH","0.39***","[ 0.33,  0.45]","0.47***","[ 0.42,  0.53]",,
"99","SAFE.WITH.PLEA","0.62***","[ 0.54,  0.70]","0.67***","[ 0.62,  0.72]",,
"100","GREEN.WITH.COH","-0.01","[-0.09,  0.08]","-0.18***","[-0.25, -0.11]",,
"101","GREEN.WITH.PLEA","-0.11*","[-0.21, -0.01]","-0.23***","[-0.31, -0.16]",,
"102","GREEN.WITH.SAFE","-0.10*","[-0.19, -0.01]","-0.19***","[-0.26, -0.11]",,
"103","BLUE.WITH.COH","-0.03","[-0.12,  0.06]","-0.06","[-0.13,  0.01]",,
"104","BLUE.WITH.PLEA","-0.08","[-0.18,  0.02]","-0.13**","[-0.21, -0.05]",,
"105","BLUE.WITH.SAFE","-0.08","[-0.17,  0.01]","-0.11**","[-0.18, -0.04]",,
"106","BLUE.WITH.GREEN","0.56***","[ 0.45,  0.67]","0.61***","[ 0.53,  0.69]",,
"107","NOI.WITH.COH","-0.46***","[-0.53, -0.40]","-0.46***","[-0.52, -0.41]",,
"108","NOI.WITH.PLEA","-0.43***","[-0.51, -0.36]","-0.49***","[-0.55, -0.44]",,
